"Name","l0_norm","l2_loss","afa_coeff","_wandb"
"blocks.6.hook_resid_pre_12288_topk_64_0.0","63.918701171875","0.05126868188381195","0",""
"blocks.6.hook_resid_pre_12288_topk_128_0.0","127.82373046875","0.03920376300811768","0",""
"blocks.6.hook_resid_pre_12288_topk_512_0.0","512","0.00885317288339138","0",""
"blocks.6.hook_resid_pre_12288_batchtopk_64_0.0","64","0.0495062991976738","0",""
"blocks.6.hook_resid_pre_12288_batchtopk_128_0.0","128","0.03689334914088249","0",""
"blocks.6.hook_resid_pre_12288_batchtopk_512_0.0","512","0.0080268494784832","0",""
"blocks.6.hook_resid_pre_12288_topafa_0_0.0078125","315.17236328125","0.13210296630859375","0.0078125",""
"blocks.6.hook_resid_pre_12288_topk_32_0.0","31.9833984375","0.06488422304391861","0",""
"blocks.6.hook_resid_pre_12288_topk_256_0.0","255.996337890625","0.02644454687833786","0",""
"blocks.6.hook_resid_pre_12288_topk_1024_0.0","1023.493408203125","0.00017387377738486975","0",""
"blocks.6.hook_resid_pre_12288_topk_2048_0.0","2044.214111328125","0.00018547367653809488","0",""
"blocks.6.hook_resid_pre_12288_topk_4096_0.0","2971.20263671875","0.00018157174054067585","0",""
"blocks.6.hook_resid_pre_12288_topk_8192_0.0","2950.086669921875","0.0002133788511855528","0",""
"blocks.6.hook_resid_pre_12288_topafa_0_0.015625","1109.890869140625","0.029094140976667404","0.015625",""
"blocks.6.hook_resid_pre_12288_batchtopk_32_0.0","32","0.06284122169017792","0",""
"blocks.6.hook_resid_pre_12288_batchtopk_256_0.0","256","0.02371521294116974","0",""
"blocks.6.hook_resid_pre_12288_batchtopk_1024_0.0","1024","0.0001650755002629012","0",""
"blocks.6.hook_resid_pre_12288_batchtopk_2048_0.0","2048","0.0002084213774651289","0",""
"blocks.6.hook_resid_pre_12288_batchtopk_4096_0.0","2969.171630859375","0.00018272238958161324","0",""
"blocks.6.hook_resid_pre_12288_batchtopk_8192_0.0","2950.086669921875","0.0002133788511855528","0",""
"blocks.6.hook_resid_pre_12288_topafa_0_0.0625","2343.745361328125","0.00018518802244216204","0.0625",""
"blocks.6.hook_resid_pre_12288_topafa_0_0.041666666666666664","2132.43505859375","0.0002136224356945604","0.041666666666666664",""
"blocks.6.hook_resid_pre_12288_topafa_0_0.03125","2037.28759765625","0.00016411065007559955","0.03125",""
